date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:00	1138/1138	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c6d-472-5a00470a719cf%22	http://bendarby.co.uk/assets/icons/source/twitter.svg	D:/work/1/bendarby.co.uk/assets/icons/source/twitter.svg	(from http://bendarby.co.uk/)
12:14:00	235/235	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Aug%202020%2006:44:03%20GMT	http://bendarby.co.uk/work	D:/work/1/bendarby.co.uk/work.d.delayed	(from http://bendarby.co.uk/)
12:14:01	24042/24042	---M--	200	added ('OK')	text/html	etag:%22b33f5a-5dea-5aa0995a711b8%22	http://bendarby.co.uk/work/	D:/work/1/bendarby.co.uk/work/index.html	(from http://bendarby.co.uk/)
12:14:02	2297/2297	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f9-173e42f9370%22	https://form.questionscout.com/qs-form-script.min.js	D:/work/1/form.questionscout.com/qs-form-script.min.js	(from http://bendarby.co.uk/)
12:14:02	227/227	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Aug%202020%2006:44:05%20GMT	http://bendarby.co.uk/js/vendor/jquery-2.1.4.min.js	D:/work/1/bendarby.co.uk/js/vendor/jquery-2.1.4.min.10.delayed	(from http://bendarby.co.uk/)
12:14:03	4438/4438	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4ad5-1156%22	https://cdnjs.cloudflare.com/ajax/libs/simplex-noise/2.4.0/simplex-noise.min.js	D:/work/1/cdnjs.cloudflare.com/ajax/libs/simplex-noise/2.4.0/simplex-noise.min.js	(from http://bendarby.co.uk/)
12:14:04	1307/1307	---M--	200	added ('OK')	application/javascript	etag:%22b33d98-51b-5a00470e37e7a%22	http://bendarby.co.uk/js/libs/inviewport.js	D:/work/1/bendarby.co.uk/js/libs/inviewport.js	(from http://bendarby.co.uk/)
12:14:06	17271/17271	---M--	200	added ('OK')	application/javascript	etag:%22b33d71-4377-5a00470e13d33%22	http://bendarby.co.uk/js/libs/anime.min.js	D:/work/1/bendarby.co.uk/js/libs/anime.min.js	(from http://bendarby.co.uk/)
12:14:07	6148/6148	---M--	200	added ('OK')	application/javascript	etag:%22b33db1-1804-5a00470e56924%22	http://bendarby.co.uk/js/main.js	D:/work/1/bendarby.co.uk/js/main.js	(from http://bendarby.co.uk/)
12:14:08	936/936	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c4e-3a8-5a004709dae58%22	http://bendarby.co.uk/assets/icons/source/menu-close-white.svg	D:/work/1/bendarby.co.uk/assets/icons/source/menu-close-white.svg	(from http://bendarby.co.uk/css/style.css)
12:14:08	543/543	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c51-21f-5a004709e560d%22	http://bendarby.co.uk/assets/icons/source/menu-pink.svg	D:/work/1/bendarby.co.uk/assets/icons/source/menu-pink.svg	(from http://bendarby.co.uk/css/style.css)
12:14:08	84380/84380	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	D:/work/1/ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	(from http://bendarby.co.uk/)
12:14:08	543/543	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c4c-21f-5a004709d565b%22	http://bendarby.co.uk/assets/icons/source/menu-blue.svg	D:/work/1/bendarby.co.uk/assets/icons/source/menu-blue.svg	(from http://bendarby.co.uk/css/style.css)
12:14:09	549/549	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c57-225-5a004709feb5c%22	http://bendarby.co.uk/assets/icons/source/menu-yellow.svg	D:/work/1/bendarby.co.uk/assets/icons/source/menu-yellow.svg	(from http://bendarby.co.uk/css/style.css)
12:14:09	38664/38664	---M--	200	added ('OK')	application/javascript	etag:%22b33dac-9708-5a00470e50615%22	http://bendarby.co.uk/js/libs/swup.js	D:/work/1/bendarby.co.uk/js/libs/swup.js	(from http://bendarby.co.uk/)
12:14:09	905/905	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c0d-389-5a0047094fb75%22	http://bendarby.co.uk/assets/icons/source/arrow-down-pink.svg	D:/work/1/bendarby.co.uk/assets/icons/source/arrow-down-pink.svg	(from http://bendarby.co.uk/css/style.css)
12:14:10	905/905	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c0a-389-5a0047094a2bd%22	http://bendarby.co.uk/assets/icons/source/arrow-down-blue.svg	D:/work/1/bendarby.co.uk/assets/icons/source/arrow-down-blue.svg	(from http://bendarby.co.uk/css/style.css)
12:14:10	921/921	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c21-399-5a0047095cb9f%22	http://bendarby.co.uk/assets/icons/source/arrow-up-blue.svg	D:/work/1/bendarby.co.uk/assets/icons/source/arrow-up-blue.svg	(from http://bendarby.co.uk/css/style.css)
12:14:10	205061/205061	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c053712-32105%22	https://cdnjs.cloudflare.com/ajax/libs/paper.js/0.12.0/paper-core.min.js	D:/work/1/cdnjs.cloudflare.com/ajax/libs/paper.js/0.12.0/paper-core.min.js	(from http://bendarby.co.uk/)
12:14:10	916/916	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c26-394-5a00470963d6f%22	http://bendarby.co.uk/assets/icons/source/arrow-up-yellow.svg	D:/work/1/bendarby.co.uk/assets/icons/source/arrow-up-yellow.svg	(from http://bendarby.co.uk/css/style.css)
12:14:11	1486/1486	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c42-5ce-5a004709aad27%22	http://bendarby.co.uk/assets/icons/source/email-pink.svg	D:/work/1/bendarby.co.uk/assets/icons/source/email-pink.svg	(from http://bendarby.co.uk/css/style.css)
12:14:11	1486/1486	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c3d-5ce-5a004709a521f%22	http://bendarby.co.uk/assets/icons/source/email-blue.svg	D:/work/1/bendarby.co.uk/assets/icons/source/email-blue.svg	(from http://bendarby.co.uk/css/style.css)
12:14:12	1487/1487	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c47-5cf-5a004709b06b8%22	http://bendarby.co.uk/assets/icons/source/email-yellow.svg	D:/work/1/bendarby.co.uk/assets/icons/source/email-yellow.svg	(from http://bendarby.co.uk/css/style.css)
12:14:12	242/242	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c3c-f2-5a0047099e481%22	http://bendarby.co.uk/assets/icons/source/drop.svg	D:/work/1/bendarby.co.uk/assets/icons/source/drop.svg	(from http://bendarby.co.uk/css/style.css)
12:14:13	5566/5566	---M--	200	added ('OK')	image/svg+xml	etag:%22b33cac-15be-5a00470b64f72%22	http://bendarby.co.uk/assets/img/brush-pink.svg	D:/work/1/bendarby.co.uk/assets/img/brush-pink.svg	(from http://bendarby.co.uk/css/style.css)
12:14:13	5588/5588	---M--	200	added ('OK')	image/svg+xml	etag:%22b33ca8-15d4-5a00470b5aec8%22	http://bendarby.co.uk/assets/img/brush-blue.svg	D:/work/1/bendarby.co.uk/assets/img/brush-blue.svg	(from http://bendarby.co.uk/css/style.css)
12:14:14	5576/5576	---M--	200	added ('OK')	image/svg+xml	etag:%22b33cc4-15c8-5a00470b910f8%22	http://bendarby.co.uk/assets/img/brush-yellow.svg	D:/work/1/bendarby.co.uk/assets/img/brush-yellow.svg	(from http://bendarby.co.uk/css/style.css)
12:14:15	5565/5565	---M--	200	added ('OK')	image/png	etag:%2215bd-5acae2e76aaf3%22	https://bteam.co/assets/favicons/apple-touch-icon.png	D:/work/1/bteam.co/assets/favicons/apple-touch-icon.png	(from http://bendarby.co.uk/css/style.css)
12:14:15	4563/4563	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c66-11d3-5a00470a54348%22	http://bendarby.co.uk/assets/icons/source/quotes-blue.svg	D:/work/1/bendarby.co.uk/assets/icons/source/quotes-blue.svg	(from http://bendarby.co.uk/css/style.css)
12:14:15	5578/5578	---M--	200	added ('OK')	image/svg+xml	etag:%22b33cbe-15ca-5a00470b8c164%22	http://bendarby.co.uk/assets/img/brush-white.svg	D:/work/1/bendarby.co.uk/assets/img/brush-white.svg	(from http://bendarby.co.uk/css/style.css)
12:14:16	919/919	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c33-397-5a00470973861%22	http://bendarby.co.uk/assets/icons/source/arrow-up.svg	D:/work/1/bendarby.co.uk/assets/icons/source/arrow-up.svg	(from http://bendarby.co.uk/about/)
12:14:17	6224/6224	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c7a-1850-5a00470aa7b6d%22	http://bendarby.co.uk/assets/icons/source/web.svg	D:/work/1/bendarby.co.uk/assets/icons/source/web.svg	(from http://bendarby.co.uk/about/)
12:14:17	3191/3191	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c64-c77-5a00470a4ef6c%22	http://bendarby.co.uk/assets/icons/source/product.svg	D:/work/1/bendarby.co.uk/assets/icons/source/product.svg	(from http://bendarby.co.uk/about/)
12:14:18	10170/10170	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c4b-27ba-5a004709c1bf3%22	http://bendarby.co.uk/assets/icons/source/frontend.svg	D:/work/1/bendarby.co.uk/assets/icons/source/frontend.svg	(from http://bendarby.co.uk/about/)
12:14:19	21245/21245	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c76-52fd-5a00470a9f130%22	http://bendarby.co.uk/assets/icons/source/ux.svg	D:/work/1/bendarby.co.uk/assets/icons/source/ux.svg	(from http://bendarby.co.uk/about/)
12:14:19	878/878	---M--	200	added ('OK')	image/svg+xml	etag:%22369db5ae-36e-5a00f11c54578%22	http://bendarby.co.uk/assets/img/flourish-grey.svg	D:/work/1/bendarby.co.uk/assets/img/flourish-grey.svg	(from http://bendarby.co.uk/about/)
12:14:19	4555/4555	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c67-11cb-5a00470a59618%22	http://bendarby.co.uk/assets/icons/source/quotes.svg	D:/work/1/bendarby.co.uk/assets/icons/source/quotes.svg	(from http://bendarby.co.uk/about/)
12:14:20	233/233	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Aug%202020%2006:44:23%20GMT	http://bendarby.co.uk/about/js/vendor/jquery-2.1.4.min.js	D:/work/1/bendarby.co.uk/about/js/vendor/jquery-2.1.4.min.31.delayed	(from http://bendarby.co.uk/about/)
12:14:20	259/259	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Aug%202020%2006:44:23%20GMT	http://bendarby.co.uk/work/development-initiatives	D:/work/1/bendarby.co.uk/work/development-initiatives.32.delayed	(from http://bendarby.co.uk/work/)
12:14:21	11347/11347	---M--	200	added ('OK')	text/html	etag:%22b33f56-2c53-5aa0995a4d93d%22	http://bendarby.co.uk/work/development-initiatives/	D:/work/1/bendarby.co.uk/work/development-initiatives/index.html	(from http://bendarby.co.uk/work/)
12:14:21	8464/8464	---M--	200	added ('OK')	image/svg+xml	etag:%22b33cc8-2110-5a00470b9b2d0%22	http://bendarby.co.uk/assets/img/di-logo.svg	D:/work/1/bendarby.co.uk/assets/img/di-logo.svg	(from http://bendarby.co.uk/work/)
12:14:22	259/259	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Aug%202020%2006:44:25%20GMT	http://bendarby.co.uk/work/global-nutrition-report	D:/work/1/bendarby.co.uk/work/global-nutrition-report.35.delayed	(from http://bendarby.co.uk/work/)
12:14:23	12000/12000	---M--	200	added ('OK')	text/html	etag:%2216d5432d-2ee0-5aa0995a6814a%22	http://bendarby.co.uk/work/global-nutrition-report/	D:/work/1/bendarby.co.uk/work/global-nutrition-report/index.html	(from http://bendarby.co.uk/work/)
12:14:23	6238/6238	---M--	200	added ('OK')	image/svg+xml	etag:%22b33d34-185e-5a00470d05ff4%22	http://bendarby.co.uk/assets/img/gnr-logo.svg	D:/work/1/bendarby.co.uk/assets/img/gnr-logo.svg	(from http://bendarby.co.uk/work/)
12:14:24	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Aug%202020%2006:44:27%20GMT	http://bendarby.co.uk/work/arc-west	D:/work/1/bendarby.co.uk/work/arc-west.38.delayed	(from http://bendarby.co.uk/work/)
12:14:24	10827/10827	---M--	200	added ('OK')	text/html	etag:%22442452be-2a4b-5aa0995a3efa7%22	http://bendarby.co.uk/work/arc-west/	D:/work/1/bendarby.co.uk/work/arc-west/index.html	(from http://bendarby.co.uk/work/)
12:14:25	2049/2049	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c92-801-5a00470ae719b%22	http://bendarby.co.uk/assets/img/arc-logo.svg	D:/work/1/bendarby.co.uk/assets/img/arc-logo.svg	(from http://bendarby.co.uk/work/)
12:14:34	159999/159999	---M--	200	added ('OK')	image/jpeg	etag:%22b33d3a-270ff-5a00470d46200%22	http://bendarby.co.uk/assets/img/portrait.jpg	D:/work/1/bendarby.co.uk/assets/img/portrait.jpg	(from http://bendarby.co.uk/about/)
12:14:34	246/246	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Aug%202020%2006:44:37%20GMT	http://bendarby.co.uk/work/bluehealth	D:/work/1/bendarby.co.uk/work/bluehealth.3b.delayed	(from http://bendarby.co.uk/work/)
